Name,total_population,Median_age,Median_age_Male,Median_age_Female,White_alone,Black_or_African_American alone,Total:_American_Indian_and_Alaska_Native alone,Total:_Asian_alone,Hawaiian_and_Pacific,Other_race,Tenure_units,Owner occupied,Renter occupied,Median_household_income,Income_below_poverty_level:,Income_below_poverty_level_Family_households:,Income_below_poverty_level_Family_households_Married,Income_below_poverty_level_Nonfamily_households:,Income_above_poverty_level:,Income_at_or_above_poverty_level_Family households:,Income_at_or_above_poverty_level_Family_households_Married,Income_at_or_above_poverty_level_Nonfamily_households:,Employment_status,In_labor_force:,Civilian_employed,Civilian_unemployed,Armed_Forces,Not_in_labor_force,Educational_attainment,No_schooling_complete,Regular_high_school_diploma,_GED_or_alternative_credential,Some_college_less_than_1_year,Some_college_1_or_more_years_no_degree,Associates_degree,Bachelor's_degree,Master's_degree,Professional_school_degree,Household_type,Family_households:,Family_households:_Married-couple_family,male_housholder_no_spouse,female_housholder_no_spouse,Nonfamily_households:,Median_gross_rent,State,Place,Year
40,"Bakersfield city, California",384159,31.4,30.1,32.6,259241.0,26672.0,4369.0,29637.0,844.0,46814.0,116558,69256,47302,62402,15794.0,9776.0,4119.0,6018.0,100764.0,77493.0,56626.0,23271.0,280234,173442,163320,10122,580,106212,232621.0,6835.0,51968.0,6770.0,17763.0,37977.0,21941.0,34067.0,13219.0,3639.0,116558,87269,60745,7506,19018,29289,1105,6,3526,2019
43,"Berkeley city, California",121353,31.5,31.3,31.7,72845.0,7549.0,609.0,27183.0,345.0,3893.0,44551,18438,26113,95360,6916.0,241.0,132.0,6675.0,37635.0,19633.0,15444.0,18002.0,109524,67478,63459,4019,46,42000,76114.0,677.0,3651.0,809.0,2211.0,5960.0,2474.0,26811.0,17826.0,5065.0,44551,19874,15576,1401,2897,24677,1837,6,6000,2019
45,"Burbank city, California",102508,40.6,39.4,42.4,73104.0,2998.0,747.0,14081.0,0.0,4702.0,43167,17529,25638,73613,5849.0,1008.0,414.0,4841.0,37318.0,22459.0,17338.0,14859.0,86657,57282,53658,3624,49,29326,78172.0,1156.0,9540.0,1375.0,5988.0,11311.0,9112.0,24957.0,7951.0,1766.0,43167,23467,17752,1558,4157,19700,1728,6,8954,2019
47,"Carlsbad city, California",115386,44.6,43.3,46.4,96652.0,441.0,50.0,12311.0,0.0,471.0,44966,29187,15779,123409,1806.0,905.0,457.0,901.0,43160.0,30234.0,25165.0,12926.0,94786,61282,56797,4485,55,33449,,,,,,,,,,,44966,31139,25622,910,4607,13827,2052,6,11194,2019
50,"Chico city, California",103315,30.2,29.5,30.9,84193.0,2672.0,479.0,4133.0,359.0,6821.0,37040,16899,20141,59876,6858.0,2114.0,374.0,4744.0,30182.0,18055.0,13723.0,12127.0,85279,55254,51807,3447,141,29884,60740.0,977.0,8144.0,1897.0,4990.0,9252.0,6408.0,15861.0,4874.0,2012.0,37040,20169,14097,1751,4321,16871,1128,6,13014,2019
53,"Chula Vista city, California",274485,37.4,35.4,38.6,172080.0,14063.0,858.0,49733.0,1191.0,22798.0,82916,49726,33190,87876,7679.0,4869.0,2380.0,2810.0,75237.0,60557.0,42972.0,14680.0,217132,141087,126447,14640,5565,70480,183522.0,4510.0,32753.0,4911.0,11006.0,29504.0,21041.0,38169.0,12570.0,2034.0,82916,65426,45352,5524,14550,17490,1715,6,13392,2019
55,"Clovis city, California",114582,35.6,33.6,37.5,80183.0,3456.0,1986.0,11643.0,842.0,9531.0,39269,27148,12121,89398,2979.0,1687.0,676.0,1292.0,36290.0,27442.0,20046.0,8848.0,83255,55180,52196,2984,68,28007,73577.0,586.0,10989.0,1538.0,5303.0,17540.0,7202.0,16465.0,6032.0,2501.0,39269,29129,20722,2461,5946,10140,1224,6,14218,2019
57,"Concord city, California",129320,37.3,36.4,38.6,77326.0,5281.0,934.0,17729.0,104.0,17979.0,45071,26280,18791,102477,4663.0,2283.0,834.0,2380.0,40408.0,28818.0,23940.0,11590.0,105758,72201,69461,2740,0,33557,90544.0,1445.0,14577.0,2305.0,5904.0,15000.0,9501.0,21906.0,7089.0,2607.0,45071,31101,24774,1783,4544,13970,1982,6,16000,2019
58,"Corona city, California",169854,35.3,35.2,35.5,91545.0,8802.0,1014.0,22101.0,290.0,38837.0,47793,29340,18453,86790,4203.0,3012.0,1006.0,1191.0,43590.0,36901.0,28219.0,6689.0,132113,87810,83998,3812,392,43911,112966.0,2493.0,27162.0,2202.0,6088.0,20839.0,10634.0,20303.0,8239.0,1173.0,47793,39913,29225,3503,7185,7880,1726,6,16350,2019
59,"Costa Mesa city, California",113011,34.9,34.6,35.1,65384.0,1003.0,992.0,12279.0,549.0,27779.0,38762,14887,23875,91857,2785.0,1331.0,815.0,1454.0,35977.0,21013.0,15464.0,14964.0,89571,66669,63351,3318,110,22792,79196.0,1967.0,13680.0,771.0,3086.0,13968.0,6060.0,21638.0,5763.0,2081.0,38762,22344,16279,1994,4071,16418,1946,6,16532,2019
